n1_CLL	n2_CLL	cosine_distance
CVCL_0002	CVCL_0007	0.1559
CVCL_0002	CVCL_0064	0.1553
CVCL_0002	CVCL_0258	0.1549
CVCL_0002	CVCL_0614	0.1479
CVCL_0002	CVCL_1071	0.1601
CVCL_0002	CVCL_1425	0.1643
CVCL_0002	CVCL_2071	0.1665
CVCL_0002	CVCL_2119	0.1536
CVCL_0002	CVCL_2122	0.1731
CVCL_0002	CVCL_2162	0.1370
CVCL_0002	CVCL_2196	0.1403
CVCL_0004	CVCL_0216	0.3398
CVCL_0004	CVCL_0379	0.3668
CVCL_0004	CVCL_2037	0.3914
CVCL_0004	CVCL_2106	0.3347
CVCL_0004	CVCL_2119	0.3882
CVCL_0004	CVCL_2120	0.4014
CVCL_0004	CVCL_2122	0.3941
CVCL_0004	CVCL_2149	0.3723
CVCL_0004	CVCL_2162	0.4073
CVCL_0004	CVCL_2196	0.3778
CVCL_0004	CVCL_3043	0.3696
CVCL_0006	CVCL_0064	0.2627
CVCL_0006	CVCL_0258	0.2709
CVCL_0006	CVCL_0614	0.2696
CVCL_0006	CVCL_1071	0.2844
CVCL_0006	CVCL_1425	0.2549
CVCL_0006	CVCL_1619	0.2584
CVCL_0006	CVCL_1620	0.2425
CVCL_0006	CVCL_1694	0.2807
CVCL_0006	CVCL_2119	0.2622
CVCL_0006	CVCL_2122	0.2716
CVCL_0006	CVCL_2196	0.2806
CVCL_0007	CVCL_0002	0.1559
CVCL_0007	CVCL_0064	0.1530
CVCL_0007	CVCL_0258	0.1309
CVCL_0007	CVCL_0614	0.1387
CVCL_0007	CVCL_1071	0.1441
CVCL_0007	CVCL_1425	0.1554
CVCL_0007	CVCL_1619	0.1570
CVCL_0007	CVCL_2119	0.1537
CVCL_0007	CVCL_2122	0.1501
CVCL_0007	CVCL_2162	0.1381
CVCL_0007	CVCL_2196	0.1452
CVCL_0008	CVCL_0511	0.0743
CVCL_0008	CVCL_0539	0.0604
CVCL_0008	CVCL_1087	0.0767
CVCL_0008	CVCL_1088	0.0591
CVCL_0008	CVCL_1101	0.0693
CVCL_0008	CVCL_1168	0.0754
CVCL_0008	CVCL_1222	0.0755
CVCL_0008	CVCL_1399	0.0737
CVCL_0008	CVCL_1660	0.0689
CVCL_0008	CVCL_1877	0.0683
CVCL_0008	CVCL_2027	0.0677
CVCL_0009	CVCL_1280	0.2531
CVCL_0009	CVCL_1319	0.2741
CVCL_0009	CVCL_1361	0.2457
CVCL_0009	CVCL_1414	0.2837
CVCL_0009	CVCL_2096	0.2569
CVCL_0009	CVCL_2541	0.2844
CVCL_0009	CVCL_2889	0.2429
CVCL_0009	CVCL_8796	0.2297
CVCL_0009	CVCL_8797	0.2551
CVCL_0009	CVCL_H614	0.2746
CVCL_0009	CVCL_H637	0.2245
CVCL_0012	CVCL_0707	0.3657
CVCL_0012	CVCL_0846	0.4060
CVCL_0012	CVCL_0878	0.3492
CVCL_0012	CVCL_0888	0.3398
CVCL_0012	CVCL_0928	0.3601
CVCL_0012	CVCL_0933	0.3392
CVCL_0012	CVCL_1062	0.3908
CVCL_0012	CVCL_1232	0.4066
CVCL_0012	CVCL_2123	0.2000
CVCL_0012	CVCL_2182	0.3925
CVCL_0012	CVCL_2992	0.4046
CVCL_0014	CVCL_0511	0.1982
CVCL_0014	CVCL_1087	0.1935
CVCL_0014	CVCL_1222	0.1963
CVCL_0014	CVCL_1334	0.1928
CVCL_0014	CVCL_1823	0.1884
