#15310-LN	CVCL_E548
#16-15	CVCL_KA96
#40A	CVCL_IW91
#490	CVCL_B375
#822	CVCL_X345
#W7079	CVCL_E549
(BF1) 8A3.31	CVCL_G217
(L)PC6	CVCL_VG99
+/+ (A)	CVCL_6479
+/+ (B)	CVCL_6480
+/+ (C)	CVCL_S361
+/+ LI	CVCL_4977
+/+ MGT	CVCL_3627
+/+ SCT	CVCL_3628
0.57	CVCL_WM09
00136	CVCL_E557
0162D	CVCL_VG31
0165D	CVCL_VG32
0225-02SP	CVCL_XB90
022HU-NSO	CVCL_6494
0308	CVCL_IP58
031M-CUMC/INSERM	CVCL_IJ15
04T036	CVCL_WU68
051407CB	CVCL_V362
066	CVCL_Y448
066MD-CUMC/INSERM	CVCL_IJ16
07-4D	CVCL_J077
07-S-0025#0100	CVCL_6G61
0822	CVCL_IP59
090727 LQT3/BRS G1	CVCL_T913
090727 LQT3/BRS G2	CVCL_T914
09097B	CVCL_VG29
09097C	CVCL_VG25
1-19-1	CVCL_XI59
1-1A4	CVCL_DB54
1-1D5	CVCL_DB55
1-1RAS1000	CVCL_8653
1-1SRC	CVCL_8654
1-29-7	CVCL_Y308
1-5-2	CVCL_XI60
1-5C-4	CVCL_2260
1-7HB2	CVCL_2261
1-8	CVCL_T367
1-87	CVCL_D231
1-A2	CVCL_9V12
1-F10	CVCL_XB14
1-H4	CVCL_XD10
1-LN	CVCL_L211
1.1ASML	CVCL_LC22
1.1B4	CVCL_1778
1.1E7	CVCL_2257
1.2B4	CVCL_2258
1.2C7	CVCL_AP65
1.4E7	CVCL_2259
1.59	CVCL_WM10
1.5A9	CVCL_AP64
1.90.6	CVCL_KR63
1/2PEA	CVCL_LB75
1/39	CVCL_XX77
10(AAT) CLONE A	CVCL_U069
10-1.D.2	CVCL_B376
10-2.16	CVCL_B377
10-3.6.2	CVCL_B378
10.014 PRSV-T	CVCL_6341
10.84.2	CVCL_J168
10/78	CVCL_KS99
10/9CRC1	CVCL_8478
100-1#16	CVCL_T867
100-1#8	CVCL_T866
100-2#1	CVCL_T868
100-310	CVCL_N280
100213 LQT2 THETA10	CVCL_T915
100213 LQT2 THETA4	CVCL_T916
10063349	CVCL_6G62
1007P	CVCL_WM18
1011-MEL	CVCL_7942
1013L	CVCL_4806
1016T	CVCL_6G35
101A	CVCL_J815
1020A1	CVCL_UP42
1020A12	CVCL_UP40
1020A3	CVCL_UP41
10249M	CVCL_WM48
1027B3	CVCL_RY14
1027B4	CVCL_RY15
1027B6	CVCL_RY16
103-LCL	CVCL_6751
103.2	CVCL_XH59
1039A1	CVCL_RL23
104C1	CVCL_2267
10538P	CVCL_WM22
105AJ	CVCL_M609
105AJ1.1	CVCL_M610
105AJ3.1	CVCL_M611
105AJ5.1	CVCL_M612
105KC	CVCL_M605
1066	CVCL_E424
1072F	CVCL_6G38
1074-MEL	CVCL_GR77
107C3	CVCL_RB02
1083933X	CVCL_JD58
10843566	CVCL_JD19
1088-MEL	CVCL_8029
108CC15	CVCL_0464
108CC5	CVCL_4076
108CC5-BU	CVCL_4077
108CC5-BU-5	CVCL_4078
108CC5-BU-8	CVCL_4079
108CC5-TG-1	CVCL_4082
108CC5-TG-2	CVCL_4083
108CC5-TG-3	CVCL_4084
108CC5-TG-4	CVCL_4085
108CC5T-BU-1	CVCL_4080
108CC5T-BU-4	CVCL_4081
108Z	CVCL_UT49
10913246	CVCL_JD60
10B10	CVCL_6819
10B11	CVCL_XJ51
10B9	CVCL_B379
10C4.1.3	CVCL_H997
10C7	CVCL_D146
10C8	CVCL_VI25
10C9	CVCL_R704
10CM	CVCL_VJ83
10D2F6	CVCL_G563
10E2	CVCL_Y303
10E5	CVCL_G016
10F10	CVCL_XE21
10F11.B2.C3	CVCL_IV59
10F5	CVCL_XA96
10F7MN	CVCL_G564
10G10.15.16	CVCL_LH44
10G2	CVCL_XC16
10G4	CVCL_U285
10H	CVCL_N538
10H-2	CVCL_N539
10H2.12.1	CVCL_H998
10H4	CVCL_XJ52
10P12	CVCL_6481
10P2	CVCL_6482
10P8	CVCL_0E96
11-18-ER1-7	CVCL_D856
11-18-ER2-1	CVCL_D857
11-18-GEF10-1	CVCL_D776
11-18-GEF20-1	CVCL_D777
11-18/R	CVCL_S745
11-26C	CVCL_9138
11-4	CVCL_2819
11-4.1	CVCL_G219
11-5.2.1.9	CVCL_G189
11-5F	CVCL_J078
11-9-1-4	CVCL_5948
11-YX-1	CVCL_WG97
11.9	CVCL_N790
110-5	CVCL_J035
110119B	CVCL_VG30
110131C	CVCL_VG27
110150C	CVCL_VG26
1102-MEL	CVCL_8030
11028	CVCL_L307
11031	CVCL_L308
1106-MEL	CVCL_GR78
1107F-HA	CVCL_G344
111 BLCL	CVCL_E341
11169540	CVCL_JE03
1116NS-19-9	CVCL_G218
1116NS-3D	CVCL_7233
111A3	CVCL_J079
1120C12	CVCL_RY17
1120C6	CVCL_RY18
1120C7	CVCL_RY19
1121A1	CVCL_JB56
1123-MEL	CVCL_S406
1123C1-G	CVCL_JB57
1125	CVCL_E425
1127	CVCL_E426
1135A1	CVCL_VH34
11365	CVCL_VQ88
113F1	CVCL_J910
114-50D4	CVCL_J548
114-50G2	CVCL_J549
1143-MEL	CVCL_8031
1156492+	CVCL_JD06
1156D15	CVCL_RY20
1156D2	CVCL_RY21
1156D5	CVCL_RY22
1156QE/8	CVCL_2262
116	CVCL_G220
116-13.1	CVCL_G221
11684232	CVCL_JE04
117-13	CVCL_T730
117.1	CVCL_0H96
1174	CVCL_DI59
1174-MEL	CVCL_GR79
1180	CVCL_E427
1180-MEL	CVCL_GR80
1181	CVCL_E428
1181N1	CVCL_D317
1182-1	CVCL_Z895
1182-4H	CVCL_Z708
1182-5	CVCL_Z896
1182-6	CVCL_Z897
1182-7B	CVCL_Z898
1182-MEL	CVCL_8032
11829109	CVCL_JD49
1183	CVCL_E429
1184	CVCL_2263
11845457	CVCL_JC42
1195-MEL	CVCL_8033
1199-MEL	CVCL_8034
11A	CVCL_8987
11A-A11	CVCL_WZ66
11A7	CVCL_XF01
11B	CVCL_S151
11B11	CVCL_9139
11B7501	CVCL_0E75
11BD-2E11-2	CVCL_LC04
11C	CVCL_8989
11CM	CVCL_VJ84
11E10	CVCL_E958
11F11	CVCL_E959
11F4	CVCL_XJ53
11H4.4	CVCL_N022
11P0-1	CVCL_6551
11R2F8.9	CVCL_XC71
11Z	CVCL_0Q72
11b	CVCL_8988
12-120-94/6	CVCL_YA92
12-1B6	CVCL_J713
12-2-2S (CLONE 5F11)	CVCL_G565
12-A-3	CVCL_6760
12.1	CVCL_G222
12/44	CVCL_G753
12/49	CVCL_G762
1201C1	CVCL_LJ37
1205A	CVCL_UP44
1205B	CVCL_UP45
1205LU	CVCL_5239
1207	CVCL_VL59
121-15B10	CVCL_J550
121-19B10	CVCL_E960
121-1F9	CVCL_J551
121-3H5	CVCL_J552
121-4F8	CVCL_J553
121-5E5	CVCL_J554
121-8D8	CVCL_J555
121-9E5	CVCL_J556
121-9G10	CVCL_J557
1210B2	CVCL_LJ38
1218E	CVCL_C524
1221	CVCL_2264
1228	CVCL_IP60
123-10	CVCL_E961
123-28	CVCL_E962
123-353-1	CVCL_YA93
123.7	CVCL_0109
1231A3	CVCL_LJ39
12370	CVCL_JY27
1242B	CVCL_C525
1246	CVCL_S884
1246-3A	CVCL_S885
1249	CVCL_E430
1255-B7	CVCL_U954
1255O	CVCL_C526
1259-MEL	CVCL_GR81
126 BLCL	CVCL_E342
126-6	CVCL_9V02
127 BLCL	CVCL_E343
127-24C7	CVCL_J558
127-24E11	CVCL_J559
127-38G2	CVCL_J560
127-42C11	CVCL_J561
