#10	CVCL_YD65
#103C6	CVCL_VD03
#112C7	CVCL_VD09
#12C4	CVCL_VC83
#13C5	CVCL_VC84
#14C1	CVCL_VC85
#1670	CVCL_DF12
#19C9	CVCL_VC90
#1C8	CVCL_VC72
#21C5	CVCL_VC92
#25C7	CVCL_VC96
#26C3	CVCL_VC97
#2774	CVCL_0420
#28C3	CVCL_VC99
#29C4	CVCL_VD00
#30C5	CVCL_VD01
#36	CVCL_9087
#4C2	CVCL_VC75
#5.2	CVCL_L592
#5838	CVCL_6255
#5C4	CVCL_VC76
#5RW	CVCL_WI45
#6647	CVCL_H722
#693	CVCL_5746
#W7079 REM	CVCL_E549
#Y5-80	CVCL_LE09
(C58NT)D	CVCL_WI56
(CHO) 745	CVCL_4589
(LL)-IPSC-AECII	CVCL_VR37
+SA	CVCL_XC33
-SA	CVCL_XC32
.114	CVCL_D326
.127	CVCL_D329
.144	CVCL_D328
.180	CVCL_6261
.184	CVCL_D327
.22	CVCL_6262
.220	CVCL_D325
.221	CVCL_6263
.45	CVCL_E420
0031ASD	CVCL_XJ08
0032ASD	CVCL_XJ09
003ASD	CVCL_XJ47
0044 RAG 1-15	CVCL_1S92
006	CVCL_5985
010627	CVCL_DI58
011	CVCL_5986
01178	CVCL_VL42
0118 CHR	CVCL_YB78
012	CVCL_5987
01279	CVCL_IT57
01434	CVCL_VC63
01501	CVCL_UL93
01503	CVCL_WU55
0162-CTRL05	CVCL_XJ82
0162-FSHD04	CVCL_XJ83
0163-CTRL05	CVCL_XJ84
0163-FSHD04	CVCL_XJ85
019	CVCL_5989
01_3066A2-2	CVCL_YT23
02-005	CVCL_UM31
020913	CVCL_DI57
022	CVCL_5991
02627	CVCL_E439
029	CVCL_5993
02V-AD	CVCL_XJ12
0308-GSC	CVCL_IP58
031M	CVCL_IJ15
03V-D	CVCL_XJ13
041M	CVCL_4993
041S	CVCL_E212
050882-01-MR	CVCL_JW75
050921-01-MR	CVCL_JW93
050956-01-MR	CVCL_JW94
050967-01-MR	CVCL_JW76
050974-01-MR	CVCL_JW77
050985-01-MR	CVCL_JW78
051001-01-MR	CVCL_JW79
051015-01-MR	CVCL_JW95
051024-01-MR	CVCL_JW80
051032-01-MR	CVCL_JW81
051036-01-MR	CVCL_JW82
051045-01-MR	CVCL_JW83
051086-01-MR	CVCL_JW84
051088-01-MR	CVCL_JW85
051094-01-MR	CVCL_JW86
051118-01-MR	CVCL_JW87
051121-01-MR	CVCL_JW88
051140-01-MR	CVCL_JW89
051141-01-MR	CVCL_JW90
051162-01-MR	CVCL_JW91
051167-01-MR	CVCL_JW92
051A	CVCL_VP60
051B	CVCL_VP61
054 A	CVCL_8180
05C-J	CVCL_XJ14
0622 CHR	CVCL_YB79
0627	CVCL_DI58
066MD	CVCL_IJ16
0808 CHR	CVCL_YB80
0822-GSC	CVCL_IP59
087S	CVCL_E213
08_3056A3-2	CVCL_YT26
0913	CVCL_DI57
0V-1063	CVCL_4366
1 H 10	CVCL_KS86
1-1	CVCL_J646
1-45	CVCL_M200
1-53	CVCL_H658
1-7 CE1	CVCL_3033
1-7 HB2	CVCL_2261
1-LN-PC-3-1A	CVCL_L211
1.2	CVCL_0C53
1.90	CVCL_KR63
1/22 AM-27	CVCL_1S21
1/22 AM-6	CVCL_1S22
1/22AM-27	CVCL_1S21
1/22AM-6	CVCL_1S22
1/24-24E05	CVCL_E966
1/24E05	CVCL_E966
10 CM	CVCL_VJ83
10-4-22	CVCL_L530
10-87 VERO	CVCL_JF53
10.014	CVCL_6341
10.1.D2	CVCL_B376
10.6.1	CVCL_J602
10.84	CVCL_J168
100 3CR-1	CVCL_C933
100 3CR-6	CVCL_C934
100-1 #16	CVCL_T867
100-1 #8	CVCL_T866
100-2 #1	CVCL_T868
100.6	CVCL_9W10
1004CRB1IPS6	CVCL_VN41
100BR	CVCL_8S89
1011	CVCL_7942
1011 MEL	CVCL_7942
