DB00001	Lepirudin	OTQCKZUSUGYWBD-BRHMIFOHSA-N
DB00006	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	Leuprolide	GFIJNRVAKGFPGQ-UHFFFAOYSA-N
DB00010	Sermorelin	WGWPRVFKDLAUQJ-UHFFFAOYSA-N
DB00014	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00017	Salmon Calcitonin	BBBFJLBPOGFECG-UHFFFAOYSA-N
DB00027	Gramicidin D	NDAYQJDHGXTBJL-MWWSRJDJSA-N
DB00030	Insulin Human	PBGKTOXHQIOBKM-FHFVDXKLSA-N
DB00035	Desmopressin	NFLWUMRGJYTJIN-NXBWRCJVSA-N
DB00046	Insulin Lispro	WNRQPCUGRUFHED-DETKDSODSA-N
DB00050	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00063	Eptifibatide	CZKPOZZJODAYPZ-UHFFFAOYSA-N
DB00067	Vasopressin	JLTCWSBVQSZVLT-UHFFFAOYSA-N
DB00080	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	Ciclosporin	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00094	Urofollitropin	ZDRRIRUAESZNIH-UHFFFAOYSA-N
DB00104	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00107	Oxytocin	XNOPRXBHLZRZKH-DSZYJQQASA-N
DB00109	Enfuvirtide	PEASPLKKXBYDKL-FXEVSJAOSA-N
DB00114	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	L-Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	L-Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	Alpha-Linolenic Acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	Lutein	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00138	Cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00141	N-Acetylglucosamine	MBLBDJOUHNCFQT-LXGUWJNJSA-N
DB00142	Glutamic Acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	Glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00144	Phosphatidyl serine	UNJJBGNPUUVVFQ-ZJUUUORDSA-N
DB00145	Glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	Calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00147	Pyridoxal	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	Creatine	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	L-Leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	L-Tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	L-Cysteine	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	Thiamine	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	Ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00154	Dihomo-gamma-linolenic acid	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00155	L-Citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	L-Threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00157	NADH	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00158	Folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	Icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	L-Alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	L-Valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	Vitamin A	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	Vitamin E	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00165	Pyridoxine	LXNHXLLTXMVWPM-UHFFFAOYSA-N
