4	LEBVLXFERQHONN-INIZCTEOSA-N	levobupivacaine	27262-47-1
5	ZBBHBTPTTSWHBA-DEOSSOPVSA-N	(S)-nicardipine	76093-36-2
6	PVHUJELLJLJGLN-INIZCTEOSA-N	(S)-nitrendipine	80873-62-7
13	JRWZLRBJNMZMFE-ZDUSSCGKSA-N	levdobutamine	61661-06-1
21	TVZGACDUOSZQKY-LBPRGKRZSA-N	aminopterin	54-62-6
22	QCTBMLYLENLHLA-UHFFFAOYSA-N	aminomethylbenzoic acid	56-91-7
24	OBKXEAXTFZPCHS-UHFFFAOYSA-N	phenylbutanoic acid	1821-12-1
25	NMUSYJAQQFHJEW-KVTDHHQDSA-N	azacitidine	320-67-2
26	GHASVSINZRGABV-UHFFFAOYSA-N	fluorouracil	51-21-8
27	QQOBRRFOVWGIMD-OJAKKHQRSA-N	azaribine	2169-64-4
30	QXKHYNVANLEOEG-UHFFFAOYSA-N	methoxsalen	298-81-7
33	MDJRZSNPHZEMJH-MTMZYOSNSA-N	artisone acetate	566-78-9
34	MCGSCOLBFJQGHM-SCZZXKLOSA-N	abacavir	136470-78-5
35	AIWRTTMUVOZGPW-HSPKUQOVSA-N	abarelix	183552-38-7
37	RTRQQBHATOEIAF-UUOKFMHZSA-N	acadesine	2627-69-2
38	AFCGFAGUEYAMAO-UHFFFAOYSA-N	acamprosate	77337-76-9
39	XUFXOAAUWZOOIT-UGEKTDRHSA-N	acarbose	56180-94-0
40	GOEMGAFJFRBGGG-UHFFFAOYSA-N	acebutolol	37517-30-9
42	SAZUGELZHZOXHB-UHFFFAOYSA-N	acecarbromal	77-66-7
43	MNIPYSSQXLZQLJ-UHFFFAOYSA-N	aceclofenac	89796-99-6
44	FKKUMFTYSTZUJG-UHFFFAOYSA-N	acediasulfone	80-03-5
45	ZOZKYEHVNDEUCO-DKXJUACHSA-N	aceglatone	642-83-1
46	KSMRODHGGIIXDV-YFKPBYRVSA-N	aceglutamide	2490-97-3
47	FSQKKOOTNAMONP-UHFFFAOYSA-N	acemetacin	53164-05-9
48	VABCILAOYCMVPS-UHFFFAOYSA-N	acenocoumarol	152-72-7
49	HCYFGRCYSCXKNQ-UHFFFAOYSA-N	acefylline	652-37-9
50	XLOQNFNTQIRSOX-UHFFFAOYSA-N	aceprometazine	13461-01-3
51	AXNKGLDCLYLVLQ-UHFFFAOYSA-N	acetamidoeugenol	305-13-5
52	RZVAJINKPMORJF-UHFFFAOYSA-N	paracetamol	103-90-2
53	TWIIVLKQFJBFPW-UHFFFAOYSA-N	acetaminosalol	118-57-0
54	FZERHIULMFGESH-UHFFFAOYSA-N	acetanilide	103-84-4
55	ODFJOVXVLFUVNQ-UHFFFAOYSA-N	acetarsol	97-44-9
56	BZKPWHYZMXOIDC-UHFFFAOYSA-N	acetazolamide	59-66-5
