"1,12-Besm"	PGMIWVSHZMWSSI-UHFFFAOYSA-N
"1,2,3,4,5,6-hexabromocyclohexane"	QFQZKISCBJKVHI-UHFFFAOYSA-N
"1,3-dipropyl-8-phenylxanthine"	CLIGSMOZKDCDRZ-UHFFFAOYSA-N
"1,5-dicaffeoylquinic-acid"	YDDUMTOHNYZQPO-PSEXTPKNSA-N
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium"	LDLCEGCJYSDJLX-UPHRSURJSA-N
"1-(1,2-diphenylethyl)piperidine-(+/-)"	JQWJJJYHVHNXJH-LJQANCHMSA-N
"16,16-dimethylprostaglandin-e2"	QAOBBBBDJSWHMU-WMBBNPMCSA-N
"1S,2R-phenylpropanolamine"	DLNKOYKMWOXYQA-VXNVDRBHSA-N
"2,3-DCPE"	QVEIRCZEBQRCTR-UHFFFAOYSA-N
"2,3-cis/exo-camphanediol"	AYEOSGBMQHXVER-DQUBFYRCSA-N
"2,3-cis/exo-pinanediol"	MOILFCKRQFQVFS-VUMZSGCYSA-N
"2,4-dinitrochlorobenzene"	VYZAHLCBVHPDDF-UHFFFAOYSA-N
"2,4-dinitrophenol"	UFBJCMHMOXMLKC-UHFFFAOYSA-N
"2,5-furandimethanol"	DSLRVRBSNLHVBH-UHFFFAOYSA-N
"2,6-dimethylpiperidine"	SDGKUVSVPIIUCF-KNVOCYPGSA-N
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"	UTWSZXBGTLNPOV-UHFFFAOYSA-N
"2-ethyl-1,3-hexanediol"	RWLALWYNXFYRGW-JGVFFNPUSA-N
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione"	DKEZDPGUJMMUCC-OBQNDPEBSA-N
"3,3'-dichlorobenzaldazine"	XMOVWXSCYLINBJ-BEQMOXJMSA-N
"3,3'-diindolylmethane"	VFTRKSBEFQDZKX-UHFFFAOYSA-N
"3,4-DCPG-(+/-)"	IJVMOGKBEVRBPP-SSDOTTSWSA-N
"3,4-DCPG-(R)"	IJVMOGKBEVRBPP-SSDOTTSWSA-N
"3,4-DCPG-(S)"	IJVMOGKBEVRBPP-ZETCQYMHSA-N
"3,4-methylenedioxy-beta-nitrostyrene"	KFLWBZPSJQPRDD-ONEGZZNKSA-N
"3,5-DHPG-(S)"	HOOWCUZPEFNHDT-ZETCQYMHSA-N
"4,4'-DDT"	YVGGHNCTFXOJCH-UHFFFAOYSA-N
"4,4-pentamethylenepiperidine"	LIZKZVQBLDHKCY-UHFFFAOYSA-N
"4,5,6,7-tetrabromobenzotriazole"	OMZYUVOATZSGJY-UHFFFAOYSA-N
"4-acetyl-1,1-dimethylpiperazinium"	MSBLMBWXUVQCDY-UHFFFAOYSA-N
"4-phenyl-1,2,3,4-tetrahydroisoquinoline"	OSZMNJRKIPAVOS-HNNXBMFYSA-N
"5,7-dichlorokynurenic-acid"	BGKFPRIGXAVYNX-UHFFFAOYSA-N
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one"	PXINDYJACXPZIN-UHFFFAOYSA-N
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione"	TZYVRXZQAWPIAB-FCLHUMLKSA-N
"6,7-dehydro-17-acetoxy-progesterone"	URXWVWVPMJSAJD-KOORYGTMSA-N
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one"	HBEJFHWHFIAMAI-UHFFFAOYSA-N
"CP-105,696"	KMNLXCBYBKHKSK-BKMJKUGQSA-N
"CP-945,598"	UNAZAADNBYXMIV-UHFFFAOYSA-N
"D,L-mevalonic-acid-lactone"	JYVXNLLUYHCIIH-ZCFIWIBFSA-N
"ICI-118,551"	VFIDUCMKNJIJTO-XJKSGUPXSA-N
"ICI-185,282"	ZWAVGFSZMACJHA-PMNBYGLBSA-N
"ICI-215,001"	MXWICZOXPUWAHY-HNNXBMFYSA-N
"Isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,"	HMYJLVDKPJHJCF-QMMMGPOBSA-N
"L-655,708"	YKYOQIXTECBVBB-AWEZNQCLSA-N
"L-732,138"	BYYQYXVAWXAYQC-LJQANCHMSA-N
"N-methyl-(-)ephedrine-[1R,2S]"	FMCGSUUBYTWNDP-ONGXEEELSA-N
"benzenemethanol,-2,5-dimethyl-[[(1-methylethyl)amino]methyl]"	PHFWPIKQCFQPJY-CYBMUJFWSA-N
"chromanol-293B-(-)-[3R,4S]"	HVSJHHXUORMCGK-UONOGXRCSA-N
"cis-9,trans-11-conjugated-linoleic-acid"	JBYXPOFIGCOSSB-GOJKSUSPSA-N
"cis-exo-camphanediol-2,3"	AYEOSGBMQHXVER-AZQAYCESSA-N
"hydrastine-(1R,9S)"	JZUTXVTYJDCMDU-MOPGFXCFSA-N
"hydroxytacrine-maleate-(R,S)"	HLVVITIHAZBPKB-NSHDSACASA-N
"trans-10,cis-12-conjugated-linoleic-acid"	GKJZMAHZJGSBKD-NMMTYZSQSA-N
