drug_id	drug_name	rxnorm_id	drugbank_id	chebi_id
19080523	silicon dioxide, colloidal	314826	DB11132	30563
42903427	Aldosterone	1312358	DB04630	27584
745268	ergoloid mesylates, USP	4024	DB01049	34706
1145379	Ergotamine	4025	DB00696	64318
902251	hypromellose	27334	DB11075	\N
1136487	ropivacaine	35780	DB00296	8890
1345205	Ergonovine	4021	DB01253	4822
19100368	rapacuronium	262100	DB04834	135845
974166	Hydrochlorothiazide	5487	DB00999	5778
19000726	Thymol	10553	DB02513	27607
19050346	Eucalyptol	21116	DB03852	27961
909440	methyl salicylate	29787	DB09543	31832
901656	Menthol	6750	DB00825	15409
19035704	Calcium Carbonate	1897	DB06724	3311
19092849	Magnesium Chloride	6579	DB09407	6636
19122259	Iproniazid	5981	DB04818	5958
1721543	Norfloxacin	7517	DB01059	100246
1521369	Norethindrone	7514	DB00717	7627
19128219	Norethandrolone	7513	DB12787	135282
1321341	Norepinephrine	7512	DB00368	18357
1344354	Epirubicin	3995	DB00445	47898
1343916	Epinephrine	3992	DB00668	28918
1521592	Norgestrel	7518	DB09389	7630
1548195	Estradiol	4083	DB00783	16469
44507865	Prothrombin	1441688	DB11300	\N
19018885	oxolamine	32658	DB13216	94607
917006	Benzocaine	1399	DB01086	116735
935390	resorcinol	35382	DB11085	27810
927478	pramoxine	34347	DB09345	8357
979096	Zinc Acetate	58295	DB14487	62984
904501	travoprost	283809	DB00287	746859
1363749	Fosinopril	50166	DB00492	5163
711584	Levetiracetam	114477	DB01202	6437
19006692	Tyrosine	10962	DB00135	58315
715458	tiagabine	31914	DB00906	9586
19006842	Tyrothricin	10968	DB13503	\N
755695	Fluoxetine	4493	DB00472	86990
785788	olanzapine	61381	DB00334	7735
40235485	azilsartan	1091643	DB08822	68845
1309204	Adenosine	296	DB00640	16335
45775547	UNOPROSTONE	1546408	DB06826	39455
923672	Hyoscyamine	153970	DB00424	17486
19071966	Adenine	290	DB00173	16708
19050216	Cilazapril	21102	DB01340	3698
19010886	Zuclopenthixol	114176	DB01624	51364
40239330	telaprevir	1102261	DB05521	68595
1701651	Spectinomycin	270	DB00919	9215
1701928	Activated Charcoal	272	DB09278	27594
19088393	dezocine	22713	DB01209	4474
1332418	Amlodipine	17767	DB00381	2668
1308842	valsartan	69749	DB00177	9927
19030299	aprobarbital	17381	DB01352	2791
19064329	flumequine	25112	DB08972	85269
19001409	glibornuride	102846	DB08962	135545
44507693	luliconazole	1482680	DB08933	34825
19048037	lumefantrine	847728	DB06708	156095
1736971	abacavir	190521	DB01048	421707
1704183	Lamivudine	68244	DB00709	63577
988447	Masoprocol	227239	DB00179	73468
19101402	arbekacin	26397	DB06696	37922
40223464	Citicoline	997602	DB12153	16436
19026674	Pancuronium	7883	DB01337	7907
44814525	ELOSULFASE ALFA	1489914	DB09051	\N
44814542	Droxidopa	1489913	DB06262	31524
43012506	Arbutin	1367175	DB11217	18305
43012577	Catechin	1367177	DB14086	15600
964339	Sulfasalazine	9524	DB00795	9334
1560524	Glucose	4850	DB01914	42758
1195334	Choline	2449	DB00122	15354
19011773	Ascorbic Acid	1151	DB00126	29073
19068688	Hesperidin	5281	DB04703	28775
986417	POLYETHYLENE GLYCOL 3350	221147	DB09287	\N
1183554	Isoproterenol	6054	DB01064	64317
1436650	mercaptopurine	103	DB01033	94796
44818493	coagulation factor IX recombinant immunoglobulin G1 fusion protein	1535944	DB11608	\N
749910	Carisoprodol	2101	DB00395	3419
19054875	dichlorobenzyl alcohol	22906	DB13269	48220
958368	Echothiophate	89778	DB01057	4753
929638	Acitretin	16818	DB00459	50173
922191	pectin	32987	DB11158	\N
984801	Kaolin	6102	DB01575	\N
19011069	Asparagine	1157	DB00174	58048
1352890	Dextran	42635	DB09255	\N
1559684	Glyburide	4815	DB01016	5441
19029644	acipimox	16817	DB09055	94688
1189766	Levorphanol	6378	DB00854	6444
44784845	Inosine	1483575	DB04335	17596
19124297	Levallorphan	6370	DB00504	6431
1102917	Tolmetin	10636	DB00500	71941
1502855	Tolbutamide	10635	DB01124	27999
1589505	Levonorgestrel	6373	DB00367	6443
1502809	Tolazamide	10633	DB00839	9613
789578	Levodopa	6375	DB01235	15765
915542	brimonidine	134615	DB00484	3175
19124329	Levopropoxyphene	6377	DB06793	51174
43533115	asparaginase Erwinia chrysanthemi	1431738	DB08886	\N
43532539	vilanterol	1424884	DB09082	75037
