n1	n2	evidence	score
UMLS:C0000744	DOID:1386	curated	1
UMLS:C0000744	DOID:1387	curated	1
UMLS:C0000744	DOID:1388	curated	1
UMLS:C0000744	DOID:1391	curated	1
UMLS:C0000821	DOID:9667	curated	1
UMLS:C0000832	DOID:9667	curated	1
UMLS:C0000889	DOID:3138	curated	1
UMLS:C0001080	DOID:0080041	curated	1
UMLS:C0001080	DOID:0111158	curated	1
UMLS:C0001080	DOID:4480	curated	1
UMLS:C0001122	DOID:3650	curated	1
UMLS:C0001125	DOID:3650	curated	1
UMLS:C0001126	DOID:14219	curated	1
UMLS:C0001127	DOID:3650	curated	1
UMLS:C0001144	DOID:6543	curated	1
UMLS:C0001175	DOID:526	curated	1
UMLS:C0001175	DOID:635	curated	1
UMLS:C0001193	DOID:0060229	curated	1
UMLS:C0001193	DOID:0060232	curated	1
UMLS:C0001193	DOID:0060316	curated	1
UMLS:C0001193	DOID:0060359	curated	1
UMLS:C0001193	DOID:0060380	curated	1
UMLS:C0001193	DOID:0090001	curated	1
UMLS:C0001193	DOID:0110716	curated	1
UMLS:C0001193	DOID:0110717	curated	1
UMLS:C0001193	DOID:0110718	curated	1
UMLS:C0001193	DOID:0110719	curated	1
UMLS:C0001193	DOID:12960	curated	1
UMLS:C0001193	DOID:13501	curated	1
UMLS:C0001193	DOID:2907	curated	1
UMLS:C0001193	DOID:4258	curated	1
UMLS:C0001197	DOID:2722	curated	1
UMLS:C0001206	DOID:2449	curated	1
UMLS:C0001231	DOID:0060890	curated	1
UMLS:C0001249	DOID:4974	curated	1
UMLS:C0001261	DOID:8478	curated	1
UMLS:C0001306	DOID:12351	curated	1
UMLS:C0001308	DOID:2237	curated	1
UMLS:C0001339	DOID:2913	curated	1
UMLS:C0001339	DOID:4989	curated	1
UMLS:C0001342	DOID:10423	curated	1
UMLS:C0001344	DOID:2275	curated	1
UMLS:C0001363	DOID:8590	curated	1
UMLS:C0001403	DOID:10493	curated	1
UMLS:C0001403	DOID:13774	curated	1
UMLS:C0001418	DOID:299	curated	1
UMLS:C0001418	DOID:4903	curated	1
UMLS:C0001418	DOID:4929	curated	1
UMLS:C0001418	DOID:5675	curated	1
UMLS:C0001420	DOID:3112	curated	1
UMLS:C0001420	DOID:3969	curated	1
UMLS:C0001420	DOID:4465	curated	1
UMLS:C0001422	DOID:2683	curated	1
UMLS:C0001422	DOID:5477	curated	1
UMLS:C0001422	DOID:5479	curated	1
UMLS:C0001422	DOID:5482	curated	1
UMLS:C0001430	DOID:3172	curated	1
UMLS:C0001430	DOID:5403	curated	1
UMLS:C0001430	DOID:6204	curated	1
UMLS:C0001430	DOID:657	curated	1
UMLS:C0001432	DOID:3828	curated	1
UMLS:C0001433	DOID:5392	curated	1
UMLS:C0001433	DOID:7004	curated	1
UMLS:C0001442	DOID:1974	curated	1
UMLS:C0001442	DOID:2154	curated	1
UMLS:C0001529	DOID:3153	curated	1
UMLS:C0001529	DOID:3928	curated	1
UMLS:C0001546	DOID:4964	curated	1
UMLS:C0001546	DOID:507	curated	1
UMLS:C0001614	DOID:3952	curated	1
UMLS:C0001618	DOID:660	curated	1
UMLS:C0001621	DOID:9553	curated	1
UMLS:C0001622	DOID:3947	curated	1
UMLS:C0001622	DOID:446	curated	1
UMLS:C0001623	DOID:10493	curated	1
UMLS:C0001623	DOID:13774	curated	1
UMLS:C0001624	DOID:3953	curated	1
UMLS:C0001627	DOID:0050811	curated	1
UMLS:C0001630	DOID:1786	curated	1
UMLS:C0001723	DOID:3324	curated	1
UMLS:C0001733	DOID:2236	curated	1
UMLS:C0001768	DOID:2583	curated	1
UMLS:C0001815	DOID:4971	curated	1
UMLS:C0001816	DOID:4090	curated	1
UMLS:C0001818	DOID:593	curated	1
UMLS:C0001824	DOID:0050590	curated	1
UMLS:C0001824	DOID:1227	curated	1
UMLS:C0001824	DOID:12987	curated	1
UMLS:C0001825	DOID:0060223	curated	1
UMLS:C0001825	DOID:4540	curated	1
UMLS:C0001857	DOID:526	curated	1
UMLS:C0001857	DOID:635	curated	1
UMLS:C0001889	DOID:4267	curated	1
UMLS:C0001916	DOID:0050632	curated	1
UMLS:C0001916	DOID:0060831	curated	1
UMLS:C0001916	DOID:0090100	curated	1
UMLS:C0001916	DOID:0110949	curated	1
UMLS:C0001925	DOID:576	curated	1
UMLS:C0001973	DOID:0050741	curated	1
UMLS:C0001973	DOID:1574	curated	1
UMLS:C0002016	DOID:2934	curated	1
UMLS:C0002018	DOID:13417	curated	1
UMLS:C0002018	DOID:4428	curated	1
UMLS:C0002066	DOID:14223	curated	1
UMLS:C0002066	DOID:9270	curated	1
UMLS:C0002103	DOID:4481	curated	1
