101F6	O14569
12LO	P18054
15E1.1	O43715
15E1.2	O43716
17HSD7	P56937
1A13B	Q14596
1C7	O14931
1R20	Q08116
1R21	Q02535
2-19	P98173
2.19	P98173
2B4	Q9BZW8
2DD	Q9UQ10
3'EXO	Q8IV48
3BH	P14060
3BP2	P78314
3OST	O14792
3OST1	O14792
3OST2	Q9Y278
3OST3A1	Q9Y663
3OST3B1	Q9Y662
3OST4	Q9Y661
3OST5	Q8IZT8
4P11	O95825
4SPAN1	Q96JQ5
4SPAN2	Q9GZW8
4SPAN3	Q9H2W1
4SPAN4	Q9BY19
54TM	O95070
5HT3R	P46098
5MP1	Q9Y6E2
5MP2	Q7L1Q6
5PTASE	Q14642
5T4	Q13641
76P	Q9UGJ1
8D6A	Q9NPF0
9804	Q16553
99D8.1	P78371
A14GALT	Q9NPC4
A15	P41732
A18HNRNP	Q14011
A1S9T	P22314
A26A1	Q6S8J7
A26B2	B2RU33
A26B3	Q86YR6
A26C1A	Q6S8J3
A26C1B	A5A3E0
A26C2	Q6S5H5
A26C3	Q6S545
A2BP	Q9NWB1
A2BP1	Q9NWB1
A2D	Q8WWM7
A2LD1	Q9BVM4
A2LG	Q8WWM7
A2LP	Q8WWM7
A2MR	Q07954
A2MRAP	P30533
A2RP	Q8WWM7
A3GALT2P	U3KPV4
A4GALT1	Q9NPC4
AAC3	P12236
AAC4	Q9H0C2
AACT	P01011
AADACL1	Q6PIU2
AADC	P20711
AAED1	Q7RTV5
AAG	P29372
AAG2	P50502
AAP	P08697
AARF	Q7Z695
AARS	P49588
AARSL	Q5JTZ9
AAT	P01009
AAT2	Q8TD30
AATYK	Q6ZMQ8
AATYK2	Q8IWU2
AAVR	Q8IZA0
ABBP1	Q99729
ABC12	Q86UK0
ABC3	Q99758
ABC50	Q8NE71
ABC7	O75027
ABC8	P45844
ABCB2	Q03518
ABCB3	Q03519
ABCC7	P13569
ABCP	Q9UNQ0
ABCR	P78363
ABF1	O60682
ABH	Q13686
ABH1	Q13686
ABH2	Q6NS38
ABH3	Q96Q83
ABH4	Q9NXW9
ABH5	Q6P6C2
ABH6	Q3KRA9
ABH7	Q9BT30
ABH8	Q96BT7
ABHD7	Q8IUS5
ABHD9	Q9H6B9
ABIN2	Q8NFZ5
ABIN3	Q96KP6
ABL	P00519
ABLIM	O14639
ABLL	P42684
ABP1	P19801
ABP32	Q9UBV8
ABP620	Q9UPN3
ABPL	Q14315
ABRA1	Q6UWZ7
ABRO1	Q15018
ABS	Q9UJV9
ABTAP	Q9H501
AC1	Q99440
ACAA	P09110
ACAC	Q13085
ACACT	P35610
ACACT1	P35610
ACACT2	O75908
ACAM	Q9H6B4
ACAS2	Q9NR19
ACAS2L	Q9NUB1
ACATN	O00400
ACC1	Q13085
ACC2	O00763
ACCB	O00763
ACCN	Q16515
ACCN1	Q16515
ACCN2	P78348
ACCN3	Q9UHC3
ACCN4	Q96FT7
ACCN5	Q9NY37
ACDC	Q15848
ACDP1	Q9NRU3
ACDP2	Q9H8M5
ACDP3	Q8NE01
ACDP4	Q6P4Q7
ACF	Q9NQ94
ACF1	Q9NRL2
ACF7	Q9UPN3
ACGNAT	Q6IB77
ACHAP	O60888
ACHRA	P02708
ACHRB	P11230
ACHRD	Q07001
ACHRE	Q04844
ACHRG	P07510
ACID1	Q71SY5
ACID2	Q86YD1
ACINUS	Q9UKV3
ACK1	Q07912
ACLP	Q8IUX7
ACN9	Q9NRP4
ACOD4	Q86SK9
ACOT15	Q8N1Q8
ACOX	Q15067
ACP33	Q9NZD8
ACPL1	Q9NPH0
ACPL2	Q8TE99
ACPP	P15309
ACPT	Q9BZG2
ACR1	P30044
ACRC	Q96QF7
ACRP30	Q15848
ACRS	P10323
ACS2	Q9UKU0
ACS3	O95573
ACS4	O60488
ACS5	Q9ULC5
ACSB	Q9Y2P5
ACSF1	Q86V21
ACSF4	Q4L235
ACSVL1	O14975
ACSVL2	Q9Y2P4
ACSVL3	Q5K4L6
ACSVL4	Q6P1M0
ACSVL5	Q6PCB7
ACSVL6	Q9Y2P5
ACT	Q5TD97
ACTA	P68133
ACTA3	P63267
ACTBL1	Q6S545
ACTBL3	Q9BYX7
ACTC	P68032
ACTDP	P60981
ACTEIII	O14734
ACTG	P63261
ACTHR	Q01718
ACTL	Q9BWD1
ACTL3	P63267
ACTL6	O94805
ACTL7C	Q8TC94
ACTR11	Q9NZ32
ACTSA	P62736
ACTSG	P63267
ACTVS	P62736
ACVR2	P27037
ACVRINP1	Q86UL8
ACVRLK1	P37023
ACVRLK2	Q04771
ACVRLK3	P36894
ACVRLK4	P36896
ACY1L2	Q8IYS1
ACY2	P45381
ACYP	P14621
ACYPE	P07311
ACZ	Q9Y6V0
AD1	P05067
AD158	Q8TDW0
AD24	Q8WTT2
AD3	P49768
AD4	P49810
AD4BP	Q13285
ADA1	P00813
ADA2B	Q86TJ2
ADA3	O75528
ADAL1	Q6DHV7
ADAM5P	Q6NVV9
ADAMTS11	Q9UNA0
ADAMTS21	Q8TE60
ADAMTSR1	Q8N6G6
ADAPT78	P53805
ADAR1	P55265
ADAR3	Q9NS39
ADC	Q96A70
ADCK3	Q8NI60
ADCK4	Q96D53
ADCP2	P27487
ADDA	P35611
ADDB	P35612
ADDL	Q9UEY8
ADE2	P22234
ADFP	Q99541
ADGF	Q9NZK5
ADH1	P07327
ADH2	P00325
ADH3	P00326
ADHR	P30518
ADHX	P11766
ADIR	Q9H497
ADK2	P54819
ADL	Q16586
ADMLX	P23352
ADMP	Q8NFR3
ADMP2	Q9UNA0
ADMR	O15218
ADNP1	Q9H2P0
ADORA2	P29274
ADPN	Q9NST1
ADPRHL2	Q9NX46
ADPRT	P09874
ADPRT2	Q9UGN5
ADPRT3	Q9Y6F1
ADPRTL1	Q9UKK3
ADPRTL2	Q9UGN5
ADPRTL3	Q9Y6F1
ADPSP	Q9UBP0
ADRA1C	P35348
ADRA2L1	P18089
ADRA2L2	P18825
ADRA2R	P08913
ADRA2RL1	P18089
ADRA2RL2	P18825
ADRACALA	Q9NRG9
ADRAR	P08913
ADRB1R	P08588
ADRB2R	P07550
ADRB2RL1	P08908
ADRB3R	P13945
ADRBK1	P25098
ADRBK2	P35626
ADRBRL1	P08908
ADSS	P30520
ADSSL1	Q8N142
ADTAA	O95782
ADTAB	O94973
ADTB1	Q10567
ADTB2	P63010
ADTB3A	O00203
ADTG	O43747
ADX	P10109
