ENSG00000000003	O43657
ENSG00000000005	Q9H2S6
ENSG00000000419	O60762
ENSG00000000457	Q8IZE3
ENSG00000000460	Q9NSG2
ENSG00000000938	P09769
ENSG00000000971	P08603
ENSG00000001036	Q9BTY2
ENSG00000001084	P48506
ENSG00000001167	P23511
ENSG00000001460	Q5TH74
ENSG00000001461	Q6P499
ENSG00000001497	Q9Y4W2
ENSG00000001561	Q9Y6X5
ENSG00000001617	Q13275
ENSG00000001626	P13569
ENSG00000001629	Q9P2G1
ENSG00000001630	Q16850
ENSG00000001631	O00522
ENSG00000002016	P43351
ENSG00000002330	Q92934
ENSG00000002549	P28838
ENSG00000002586	P14209
ENSG00000002587	O14792
ENSG00000002726	P19801
ENSG00000002745	Q9UBV4
ENSG00000002746	Q76N89
ENSG00000002822	Q9Y6D9
ENSG00000002834	Q14847
ENSG00000002919	Q9Y5W9
ENSG00000002933	Q96HP8
ENSG00000003056	P20645
ENSG00000003096	Q9P2N7
ENSG00000003137	Q9NR63
ENSG00000003147	Q05084
ENSG00000003249	Q9H9R9
ENSG00000003393	Q96Q42
ENSG00000003400	Q92851
ENSG00000003402	O15519
ENSG00000003436	P10646
ENSG00000003509	Q7L592
ENSG00000003756	P52756
ENSG00000003987	Q9Y216
ENSG00000003989	P52569
ENSG00000004059	P84085
ENSG00000004139	Q6SZW1
ENSG00000004142	Q9Y2S7
ENSG00000004399	Q9Y4D7
ENSG00000004455	P54819
ENSG00000004468	P28907
ENSG00000004478	Q02790
ENSG00000004487	O60341
ENSG00000004534	P78332
ENSG00000004660	Q8N5S9
ENSG00000004700	P46063
ENSG00000004766	Q96JG6
ENSG00000004776	O14558
ENSG00000004777	O14559
ENSG00000004779	O14561
ENSG00000004799	Q16654
ENSG00000004809	Q86VW1
ENSG00000004838	O75800
ENSG00000004846	Q2M3G0
ENSG00000004848	Q96QS3
ENSG00000004864	Q9UJS0
ENSG00000004866	Q9NRC1
ENSG00000004897	P30260
ENSG00000004939	P02730
ENSG00000004948	P30988
ENSG00000004961	P53701
ENSG00000004975	O14641
ENSG00000005001	Q9GZN4
ENSG00000005007	Q92900
ENSG00000005020	O75563
ENSG00000005022	P05141
ENSG00000005059	Q9NWR8
ENSG00000005073	P31270
ENSG00000005075	P52435
ENSG00000005100	Q9H6R0
ENSG00000005102	P50221
ENSG00000005108	Q9UPZ6
ENSG00000005156	P49916
ENSG00000005175	Q9H6T3
ENSG00000005187	Q53FZ2
ENSG00000005189	Q96IC2
ENSG00000005194	Q6FI81
ENSG00000005206	Q8TCT7
ENSG00000005238	Q7L5A3
ENSG00000005243	Q9P299
ENSG00000005249	P31323
ENSG00000005302	Q8N5Y2
ENSG00000005339	Q92793
ENSG00000005379	O95153
ENSG00000005381	P05164
ENSG00000005421	P27169
ENSG00000005436	P16383
ENSG00000005448	Q9H977
ENSG00000005469	Q9UKG9
ENSG00000005471	P21439
ENSG00000005483	Q8IZD2
ENSG00000005486	Q6NTF9
ENSG00000005513	P57073
ENSG00000005700	Q9P2D0
ENSG00000005801	O14628
ENSG00000005810	O75592
ENSG00000005812	Q9UKT7
ENSG00000005844	P20701
ENSG00000005882	Q15119
ENSG00000005884	P26006
ENSG00000005889	P17010
ENSG00000005893	P13473
ENSG00000005961	P08514
ENSG00000005981	Q9Y574
ENSG00000006007	Q9NZC3
ENSG00000006015	Q96EN9
ENSG00000006016	O75462
ENSG00000006025	Q9BZF2
ENSG00000006042	Q9Y2Y6
ENSG00000006047	Q9Y2T7
ENSG00000006059	O76009
ENSG00000006062	Q99558
ENSG00000006071	Q09428
ENSG00000006116	O60359
ENSG00000006118	Q24JP5
ENSG00000006125	P63010
ENSG00000006128	P20366
ENSG00000006194	O14978
ENSG00000006210	P78423
ENSG00000006282	Q8TB22
ENSG00000006283	O43497
ENSG00000006327	Q9NP84
ENSG00000006377	P56179
ENSG00000006432	P80192
ENSG00000006451	P11233
ENSG00000006453	Q9UHR4
ENSG00000006459	Q6ZMT4
ENSG00000006468	P50549
ENSG00000006530	Q53H12
ENSG00000006534	P43353
ENSG00000006555	Q5TAA0
ENSG00000006576	Q8N3S3
ENSG00000006606	Q9Y258
ENSG00000006607	O94887
